ID,Problem,Difficulty,Pattern,Status,Time_Complexity,Space_Complexity
205,205_Introduction_to_Bits_and_Tricks,,,,,
206,206_Check_if_the_i_th_bit_is_Set_or_Not,,,,,
207,207_Check_if_a_Number_is_Odd_or_Not,,,,,
208,208_Check_if_a_Number_is_Power_of_2_or_Not,,,,,
209,209_Count_the_Number_of_Set_Bits,,,,,
210,210_SetUnset_the_rightmost_unset_bit,,,,,
211,211_Swap_Two_Numbers,,,,,
212,212_Divide_two_numbers_without_multiplication_and_division,,,,,
213,213_Minimum_Bit_Flips_to_Convert_Number,,,,,
214,214_Single_Number_I,,,,,
215,215_Power_Set_Bit_Manipulation,,,,,
216,216_XOR_of_numbers_in_a_given_range,,,,,
217,217_Single_Number_III,,,,,
218,218_Print_Prime_Factors_of_a_Number,,,,,
219,219_Divisors_of_a_Number,,,,,
220,220_Count_primes_in_range_L_to_R,,,,,
221,221_Prime_factorisation_of_a_Number,,,,,
222,222_Powxn,,,,,
