ID,Problem,Difficulty,Pattern,Status,Time_Complexity,Space_Complexity
001,001_Input_Output,,,,,
002,002_Cpp_Basics,,,,,
003,003_If_ElseIf,,,,,
004,004_Switch_Case,,,,,
005,005_What_are_arrays_strings,,,,,
006,006_For_loops,,,,,
007,007_While_loops,,,,,
008,008_Functions_Pass_by_Reference_and_Value,,,,,
009,009_Theory_with_examples,,,,,
010,010_Easy_and_Medium,,,,,
011,011_Hard,,,,,
012,012_Pattern_1,,,,,
013,013_Pattern_2,,,,,
014,014_Pattern_3,,,,,
015,015_Pattern_4,,,,,
016,016_Pattern_5,,,,,
017,017_Pattern_6,,,,,
018,018_Pattern_7,,,,,
019,019_Pattern_8,,,,,
020,020_Pattern_9,,,,,
021,021_Pattern_10,,,,,
022,022_Pattern_11,,,,,
023,023_Pattern_12,,,,,
024,024_Pattern_13,,,,,
025,025_Pattern_14,,,,,
026,026_Pattern_15,,,,,
027,027_Pattern_16,,,,,
028,028_Pattern_17,,,,,
029,029_Pattern_18,,,,,
030,030_Pattern_19,,,,,
031,031_Pattern_20,,,,,
032,032_Pattern_21,,,,,
033,033_Pattern_22,,,,,
034,034_STL,,,,,
035,035_Java_Collections,,,,,
036,036_Count_all_Digits_of_a_Number,,,,,
037,037_Reverse_a_number,,,,,
038,038_Palindrome_Number,,,,,
039,039_GCD_of_Two_Numbers,,,,,
040,040_Check_if_the_Number_is_Armstrong,,,,,
041,041_Print_all_Divisors,,,,,
042,042_Check_for_Prime_Number,,,,,
043,043_Understand_recursion_by_print_something_N_times,,,,,
044,044_Print_name_N_times_using_recursion,,,,,
045,045_Print_1_to_N_using_Recursion,,,,,
046,046_Print_N_to_1_using_Recursion,,,,,
047,047_Sum_of_First_N_Numbers,,,,,
048,048_Factorial_of_a_given_number,,,,,
049,049_Reverse_an_array,,,,,
050,050_Check_if_String_is_Palindrome_or_Not,,,,,
051,051_Fibonacci_Number,,,,,
052,052_Basic_Hashing,,,,,
053,053_Counting_Frequencies_of_Array_Elements,,,,,
054,054_Highest_Occurring_Element_in_an_Array,,,,,
