ID,Problem,Difficulty,Pattern,Status,Time_Complexity,Space_Complexity
149,149_Introduction_to_Singly_LinkedList,,,,,
150,150_Insertion_at_the_head_of_Linked_List,,,,,
151,151_Deletion_of_the_head_of_LL,,,,,
152,152_Find_the_length_of_the_Linked_List,,,,,
153,153_Search_in_Linked_List,,,,,
154,154_Introduction_to_Doubly_LL,,,,,
155,155_Insert_node_before_head_in_Doubly_Linked_List,,,,,
156,156_Delete_head_of_Doubly_Linked_List,,,,,
157,157_Reverse_a_Doubly_Linked_List,,,,,
158,158_Middle_of_a_LinkedList_TortoiseHare_Method,,,,,
159,159_Reverse_a_LinkedList_Iterative,,,,,
160,160_Reverse_a_LL_Recursive,,,,,
161,161_Detect_a_loop_in_LL,,,,,
162,162_Find_the_starting_point_in_LL,,,,,
163,163_Length_of_loop_in_LL,,,,,
164,164_Check_if_LL_is_palindrome_or_not,,,,,
165,165_Segregate_odd_and_even_nodes_in_Linked_List,,,,,
166,166_Remove_Nth_node_from_the_back_of_the_LL,,,,,
167,167_Delete_the_middle_node_in_LL,,,,,
168,168_Sort_LL,,,,,
169,169_Sort_a_Linked_List_of_0s_1s_and_2s,,,,,
170,170_Find_the_intersection_point_of_Y_LL,,,,,
171,171_Add_one_to_a_number_represented_by_LL,,,,,
172,172_Add_two_numbers_in_Linked_List,,,,,
173,173_Delete_all_occurrences_of_a_key_in_DLL,,,,,
174,174_Find_Pairs_with_Given_Sum_in_Doubly_Linked_List,,,,,
175,175_Remove_duplicates_from_sorted_DLL,,,,,
176,176_Reverse_LL_in_group_of_given_size_K,,,,,
177,177_Rotate_a_LL,,,,,
178,178_Flattening_of_LL,,,,,
179,179_Clone_a_LL_with_random_and_next_pointer,,,,,
