ID,Problem,Topic,Difficulty,Pattern,Time_Bucket,Status,Mistake,Edge_Case,File_Path
001,Input Output,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/001_Input_Output.md"", ""Open"")"
002,Cpp Basics,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/002_Cpp_Basics.md"", ""Open"")"
003,If ElseIf,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/003_If_ElseIf.md"", ""Open"")"
004,Switch Case,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/004_Switch_Case.md"", ""Open"")"
005,What are arrays strings,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/005_What_are_arrays_strings.md"", ""Open"")"
006,For loops,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/006_For_loops.md"", ""Open"")"
007,While loops,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/007_While_loops.md"", ""Open"")"
008,Functions Pass by Reference and Value,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/008_Functions_Pass_by_Reference_and_Value.md"", ""Open"")"
009,Theory with examples,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/009_Theory_with_examples.md"", ""Open"")"
010,Easy and Medium,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/010_Easy_and_Medium.md"", ""Open"")"
011,Hard,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/011_Hard.md"", ""Open"")"
012,Pattern 1,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/012_Pattern_1.md"", ""Open"")"
013,Pattern 2,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/013_Pattern_2.md"", ""Open"")"
014,Pattern 3,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/014_Pattern_3.md"", ""Open"")"
015,Pattern 4,Learn_the_Basics,Easy,,,In Progress,,,"=HYPERLINK(""DSA-Knowledge/Learn_the_Basics/Md/015_Pattern_4.md"", ""Open"")"
