ID,Topic,Problem_Name,Difficulty
1,Learn the Basics,Input Output,Easy
2,Learn the Basics,Cpp Basics,Easy
3,Learn the Basics,If ElseIf,Easy
4,Learn the Basics,Switch Case,Easy
5,Learn the Basics,"What are arrays, strings?",Easy
6,Learn the Basics,For loops,Easy
7,Learn the Basics,While loops,Easy
8,Learn the Basics,Functions (Pass by Reference and Value),Easy
9,Learn the Basics,Theory with examples,Easy
10,Learn the Basics,Easy and Medium,Easy
11,Learn the Basics,Hard,Easy
12,Learn the Basics,Pattern 1,Easy
13,Learn the Basics,Pattern 2,Easy
14,Learn the Basics,Pattern 3,Easy
15,Learn the Basics,Pattern 4,Easy
16,Learn the Basics,Pattern 5,Easy
17,Learn the Basics,Pattern 6,Easy
18,Learn the Basics,Pattern 7,Easy
19,Learn the Basics,Pattern 8,Easy
20,Learn the Basics,Pattern 9,Easy
21,Learn the Basics,Pattern 10,Easy
22,Learn the Basics,Pattern 11,Easy
23,Learn the Basics,Pattern 12,Easy
24,Learn the Basics,Pattern 13,Easy
25,Learn the Basics,Pattern 14,Easy
26,Learn the Basics,Pattern 15,Easy
27,Learn the Basics,Pattern 16,Easy
28,Learn the Basics,Pattern 17,Easy
29,Learn the Basics,Pattern 18,Easy
30,Learn the Basics,Pattern 19,Easy
31,Learn the Basics,Pattern 20,Easy
32,Learn the Basics,Pattern 21,Easy
33,Learn the Basics,Pattern 22,Easy
34,Learn the Basics,STL,Easy
35,Learn the Basics,Java Collections,Easy
36,Learn the Basics,Count all Digits of a Number,Easy
37,Learn the Basics,Reverse a number,Easy
38,Learn the Basics,Palindrome Number,Easy
39,Learn the Basics,GCD of Two Numbers,Easy
40,Learn the Basics,Check if the Number is Armstrong,Easy
41,Learn the Basics,Print all Divisors,Easy
42,Learn the Basics,Check for Prime Number,Easy
43,Learn the Basics,Understand recursion by print something N times,Easy
44,Learn the Basics,Print name N times using recursion,Easy
45,Learn the Basics,Print 1 to N using Recursion,Easy
46,Learn the Basics,Print N to 1 using Recursion,Easy
47,Learn the Basics,Sum of First N Numbers,Easy
48,Learn the Basics,Factorial of a given number,Easy
49,Learn the Basics,Reverse an array,Easy
50,Learn the Basics,Check if String is Palindrome or Not,Easy
51,Learn the Basics,Fibonacci Number,Easy
52,Learn the Basics,Basic Hashing,Easy
53,Learn the Basics,Counting Frequencies of Array Elements,Easy
54,Learn the Basics,Highest Occurring Element in an Array,Easy
55,Sorting Techniques,Selection Sort,Easy
56,Sorting Techniques,Bubble Sort,Easy
57,Sorting Techniques,Insertion Sorting,Easy
58,Sorting Techniques,Merge Sorting,Medium
59,Sorting Techniques,Recursive Bubble Sort,Easy
60,Sorting Techniques,Recursive Insertion Sort,Easy
61,Sorting Techniques,Quick Sorting,Medium
62,Arrays,Largest Element,Easy
63,Arrays,Second Largest Element,Easy
64,Arrays,Check if the Array is Sorted II,Easy
65,Arrays,Remove duplicates from Sorted array,Easy
66,Arrays,Left Rotate Array by One,Easy
67,Arrays,Left Rotate Array by K Places,Easy
68,Arrays,Move Zeros to End,Easy
69,Arrays,Linear Search,Easy
70,Arrays,Union of two sorted arrays,Easy
71,Arrays,Find missing number,Easy
72,Arrays,Maximum Consecutive Ones,Easy
73,Arrays,"Find the number that appears once, and other numbers twice.",Easy
74,Arrays,Longest subarray with given sum K(positives),Easy
75,Arrays,Longest subarray with sum K,Easy
76,Arrays,Two Sum,Medium
77,Arrays,Sort an array of 0's 1's and 2's,Medium
78,Arrays,Majority Element-I,Medium
79,Arrays,Kadane's Algorithm,Medium
80,Arrays,Print subarray with maximum subarray sum,Medium
81,Arrays,Stock Buy and Sell,Medium
82,Arrays,Rearrange array elements by sign,Medium
83,Arrays,Next Permutation,Medium
84,Arrays,Leaders in an Array,Medium
85,Arrays,Longest Consecutive Sequence in an Array,Medium
86,Arrays,Set Matrix Zeroes,Medium
87,Arrays,Rotate matrix by 90 degrees,Medium
88,Arrays,Print the matrix in spiral manner,Medium
89,Arrays,Count subarrays with given sum,Medium
90,Arrays,Pascal's Triangle I,Hard
91,Arrays,Majority Element-II,Hard
92,Arrays,3 Sum,Hard
93,Arrays,4 Sum,Hard
94,Arrays,Largest Subarray with Sum 0,Hard
95,Arrays,Count subarrays with given xor K,Hard
96,Arrays,Merge Overlapping Subintervals,Hard
97,Arrays,Merge two sorted arrays without extra space,Hard
98,Arrays,Find the repeating and missing number,Hard
99,Arrays,Count Inversions,Hard
100,Arrays,Reverse Pairs,Hard
101,Arrays,Maximum Product Subarray in an Array,Hard
102,Binary Search,Search X in sorted array,Easy
103,Binary Search,Lower Bound,Easy
104,Binary Search,Upper Bound,Easy
105,Binary Search,Search insert position,Easy
106,Binary Search,Floor and Ceil in Sorted Array,Easy
107,Binary Search,First and last occurrence,Easy
108,Binary Search,Count Occurrences in a Sorted Array,Easy
109,Binary Search,Search in rotated sorted array-I,Medium
110,Binary Search,Search in rotated sorted array-II,Medium
111,Binary Search,Find minimum in Rotated Sorted Array,Medium
112,Binary Search,Find out how many times the array is rotated,Medium
113,Binary Search,Single element in a Sorted Array,Medium
114,Binary Search,Find peak element,Medium
115,Binary Search,Find square root of a number,Easy
116,Binary Search,Find Nth root of a number,Medium
117,Binary Search,Koko eating bananas,Medium
118,Binary Search,Minimum days to make M bouquets,Medium
119,Binary Search,Find the smallest divisor,Medium
120,Binary Search,Capacity to Ship Packages Within D Days,Medium
121,Binary Search,Kth Missing Positive Number,Easy
122,Binary Search,Aggressive Cows,Hard
123,Binary Search,Book Allocation Problem,Hard
124,Binary Search,Split array - largest sum,Hard
125,Binary Search,Painter's Partition,Hard
126,Binary Search,Minimize Max Distance to Gas Station,Hard
127,Binary Search,Median of 2 sorted arrays,Hard
128,Binary Search,Kth element of 2 sorted arrays,Medium
129,Binary Search,Find row with maximum 1's,Medium
130,Binary Search,Search in a 2D matrix,Medium
131,Binary Search,Search in 2D matrix - II,Medium
132,Binary Search,Find Peak Element - II,Hard
133,Binary Search,Matrix Median,Hard
134,Strings,Remove Outermost Parentheses,Easy
135,Strings,Reverse words in a given string / Palindrome Check,Easy
136,Strings,Largest Odd Number in a String,Easy
137,Strings,Longest Common Prefix,Easy
138,Strings,Isomorphic String,Easy
139,Strings,Rotate String,Easy
140,Strings,Check if two strings are anagram of each other,Easy
141,Strings,Sort Characters by Frequency,Medium
142,Strings,Maximum Nesting Depth of the Parentheses,Medium
143,Strings,Roman to Integer,Medium
144,Strings,String to Integer (atoi),Medium
145,Strings,Count Number of Substrings,Medium
146,Strings,Longest Palindromic Substring,Medium
